id	name	created_at	updated_at
71	五奉行	2026-09-07 12:30:58 UTC	2026-09-07 12:30:58 UTC
72	井上六郎商店	2026-09-07 12:30:58 UTC	2026-09-07 12:30:58 UTC
73	糺の森	2026-09-07 12:30:58 UTC	2026-09-07 12:30:58 UTC
74	修学院離宮	2026-09-07 12:30:58 UTC	2026-09-07 12:30:58 UTC
75	京都コンサートホール	2026-09-07 12:30:59 UTC	2026-09-07 12:30:59 UTC
76	壬生寺	2026-09-07 12:30:59 UTC	2026-09-07 12:30:59 UTC
77	錦市場	2026-09-07 12:30:59 UTC	2026-09-07 12:30:59 UTC
78	西利	2026-09-07 12:30:59 UTC	2026-09-07 12:30:59 UTC
79	漬け物	2026-09-07 12:30:59 UTC	2026-09-07 12:30:59 UTC
80	寺社	2026-09-07 12:30:59 UTC	2026-09-07 12:30:59 UTC
81	橋	2026-09-07 12:30:59 UTC	2026-09-07 12:30:59 UTC
82	紅葉	2026-09-07 12:30:59 UTC	2026-09-07 12:30:59 UTC
83	大学	2026-09-07 12:30:59 UTC	2026-09-07 12:30:59 UTC
84	音楽	2026-09-07 12:30:59 UTC	2026-09-07 12:30:59 UTC
85	花	2026-09-07 12:30:59 UTC	2026-09-07 12:30:59 UTC
86	妙心寺	2026-09-07 12:30:59 UTC	2026-09-07 12:30:59 UTC
87	徒然草	2026-09-07 12:30:59 UTC	2026-09-07 12:30:59 UTC
88	大覚寺	2026-09-07 12:30:59 UTC	2026-09-07 12:30:59 UTC
89	グルメ	2026-09-07 12:30:59 UTC	2026-09-07 12:30:59 UTC
90	駅	2026-09-07 12:30:59 UTC	2026-09-07 12:30:59 UTC
91	博物館	2026-09-07 12:30:59 UTC	2026-09-07 12:30:59 UTC
92	天下三棚	2026-09-07 12:30:59 UTC	2026-09-07 12:30:59 UTC
93	歌	2026-09-07 12:30:59 UTC	2026-09-07 12:30:59 UTC
94	予約003	2026-09-07 12:30:59 UTC	2026-09-07 12:30:59 UTC
95	予約002	2026-09-07 12:30:59 UTC	2026-09-07 12:30:59 UTC
96	キャラクター	2026-09-07 12:30:59 UTC	2026-09-07 12:30:59 UTC
97	山科	2026-09-07 12:30:59 UTC	2026-09-07 12:30:59 UTC
98	三条京阪	2026-09-07 12:30:59 UTC	2026-09-07 12:30:59 UTC
99	御所	2026-09-07 12:30:59 UTC	2026-09-07 12:30:59 UTC
100	酒屋	2026-09-07 12:30:59 UTC	2026-09-07 12:30:59 UTC
101	六条通	2026-09-07 12:30:59 UTC	2026-09-07 12:30:59 UTC
102	出町ふたば	2026-09-07 12:30:59 UTC	2026-09-07 12:30:59 UTC
103	和菓子	2026-09-07 12:30:59 UTC	2026-09-07 12:30:59 UTC
104	動物	2026-09-07 12:30:59 UTC	2026-09-07 12:30:59 UTC
105	出町柳	2026-09-07 12:30:59 UTC	2026-09-07 12:30:59 UTC
106	琵琶湖疎水	2026-09-07 12:30:59 UTC	2026-09-07 12:30:59 UTC
107	銀閣寺	2026-09-07 12:30:59 UTC	2026-09-07 12:30:59 UTC
108	納涼床	2026-09-07 12:30:59 UTC	2026-09-07 12:30:59 UTC
109	学祭	2026-09-07 12:30:59 UTC	2026-09-07 12:30:59 UTC
110	祭り	2026-09-07 12:30:59 UTC	2026-09-07 12:30:59 UTC
111	平安京	2026-09-07 12:30:59 UTC	2026-09-07 12:30:59 UTC
112	建都1200年	2026-09-07 12:30:59 UTC	2026-09-07 12:30:59 UTC
113	今昔物語	2026-09-07 12:30:59 UTC	2026-09-07 12:30:59 UTC
114	菅原道真	2026-09-07 12:30:59 UTC	2026-09-07 12:30:59 UTC
115	琵琶湖疏水	2026-09-07 12:30:59 UTC	2026-09-07 12:30:59 UTC
116	公共施設	2026-09-07 12:30:59 UTC	2026-09-07 12:30:59 UTC
117	新撰組	2026-09-07 12:30:59 UTC	2026-09-07 12:30:59 UTC
118	嵯峨天皇	2026-09-07 12:30:59 UTC	2026-09-07 12:30:59 UTC
119	聖徳太子	2026-09-07 12:30:59 UTC	2026-09-07 12:30:59 UTC
120	お酒	2026-09-07 12:30:59 UTC	2026-09-07 12:30:59 UTC
121	節分	2026-09-07 12:30:59 UTC	2026-09-07 12:30:59 UTC
122	遊園地	2026-09-07 12:30:59 UTC	2026-09-07 12:30:59 UTC
123	イベント	2026-09-12 05:14:24 UTC	2026-09-12 05:14:24 UTC
