id	name	region	latitude	longitude	url	question	answer1	answer2	answer3	correct	created_at	updated_at	hiragana	url_status	url_checked_at
21	慈照寺(銀閣寺)	京都	35.0272	135.797	https://ja.wikipedia.org/wiki/銀閣寺	銀閣寺の正式名は	鹿苑寺	慈照寺	相国寺	2	2026-09-07 12:30:59 UTC	2026-09-07 12:30:59 UTC	じしょうじ	valid	2026-08-29 02:29:44 UTC
22	大徳寺	京都	35.0408	135.747	https://ja.wikipedia.org/wiki/大徳寺	応仁の乱で焼失した伽藍を復興させるのに尽力したのは	豊臣秀吉	千利休	一休宗純	3	2026-09-07 12:30:59 UTC	2026-09-07 12:30:59 UTC	だいとくじ	valid	2026-08-29 02:29:45 UTC
23	南禅寺	京都	35.0111	135.792	https://ja.wikipedia.org/wiki/南禅寺	歌舞伎の石川五右衛門が「絶景かな絶景かな……」といったのは南禅寺のどの建物の上でしょう？	勅使門	三門	大方丈	2	2026-09-07 12:30:59 UTC	2026-09-07 12:30:59 UTC	なんぜんじ	valid	2026-08-29 02:29:45 UTC
24	神馬堂	京都	35.058	135.752	https://wagashi.kotolog.jp/post/やきもち%E3%80%80神馬堂/	神馬堂の有名なお菓子といえば？	やきもち	まめもち	きなこもち	1	2026-09-07 12:30:59 UTC	2026-09-07 12:30:59 UTC	じんばどう	valid	2026-08-29 02:29:47 UTC
25	平安神宮	京都	35.0165	135.782	https://ja.wikipedia.org/wiki/平安神宮	国の登録有形文化財に登録されている平安神宮の大鳥居の高さは？	16.9m	20.5m	24.4m	3	2026-09-07 12:30:59 UTC	2026-09-07 12:30:59 UTC	へいあんじんぐう	valid	2026-08-29 02:29:48 UTC
26	醍醐寺	京都	34.951	135.82	http://www.daigoji.or.jp/index.html	醍醐寺で「醍醐の花見」を行ったのは誰か	織田信長	豊臣秀吉	徳川家康	2	2026-09-07 12:30:59 UTC	2026-09-07 12:30:59 UTC	だいごじ	valid	2026-08-29 02:29:48 UTC
27	伏見稲荷大社	京都	34.9671	135.773	https://inari.jp/	伏見稲荷大社の参道にはどれくらいの鳥居が立っているでしょう？	約一千基	約五千基	約一万基	3	2026-09-07 12:30:59 UTC	2026-09-07 12:30:59 UTC	ふしみいなりたいしゃ	valid	2026-08-29 02:29:48 UTC
28	相国寺	京都	35.0331	135.762	https://ja.wikipedia.org/wiki/相国寺	相国寺の堂内で手を打つと聞こえるものは？	鳴き犬	鳴き猫	鳴き龍	3	2026-09-07 12:30:59 UTC	2026-09-07 12:30:59 UTC	しょうこくじ	valid	2026-08-29 02:29:49 UTC
29	京都国際マンガミュージアム	京都	35.0117	135.759	https://www.kyotomm.jp	京都国際マンガミュージアムの館長は？	養老孟司	茂木健一郎	山内昌之	1	2026-09-07 12:30:59 UTC	2026-09-07 12:30:59 UTC	きょうとこくさいまんがみゅーじあむ	valid	2026-08-29 02:29:49 UTC
30	三十三間堂	京都	34.9879	135.772	http://sanjusangendo.jp	三十三間堂の通し矢が始まったのはいつの時代？	鎌倉時代	室町時代	桃山時代	3	2026-09-07 12:30:59 UTC	2026-09-07 12:30:59 UTC	さんじゅうさんげんどう	valid	2026-08-29 02:29:49 UTC
31	建仁寺	京都	35.001	135.774	https://www.kenninji.jp	建仁寺の山号は？	東山	西山	南山	1	2026-09-07 12:30:59 UTC	2026-09-07 12:30:59 UTC	けんにんじ	valid	2026-08-29 02:29:50 UTC
32	京都水族館	京都	34.9876	135.748	https://www.kyoto-aquarium.com	京都水族館の京の川ゾーン、京の川とは？	堀川	桂川	鴨川	3	2026-09-07 12:30:59 UTC	2026-09-07 12:30:59 UTC	きょうとすいぞくかん	valid	2026-08-29 02:29:50 UTC
33	梅小路蒸気機関車館	京都	34.9851	135.739	https://ja.wikipedia.org/wiki/梅小路蒸気機関車館	梅小路蒸気機関車館で、体験乗車できるのは？	SLやえもん号	SLスチーム号	SL轟天号	2	2026-09-07 12:30:59 UTC	2026-09-07 12:30:59 UTC	うめこうじじょうききかんしゃかん	valid	2026-08-29 02:29:51 UTC
34	豊国神社	京都	34.9914	135.773	https://ja.wikipedia.org/wiki/豊国神社_(京都市)	豊臣秀吉が豊国神社に祀るように遺言したのは？	天香山命	八幡神	大国主	2	2026-09-07 12:30:59 UTC	2026-09-07 12:30:59 UTC	とよくにじんじゃ	valid	2026-08-29 02:29:51 UTC
35	山ノ内駅	京都	35.0083	135.723	https://ja.wikipedia.org/wiki/山ノ内駅_(京都府)	山ノ内駅の安全地帯は幅は？	63cm	88cm	121cm	1	2026-09-07 12:30:59 UTC	2026-09-07 12:30:59 UTC	やまのうちえき	valid	2026-08-29 02:29:52 UTC
36	東本願寺	京都	34.991	135.758	https://www.higashihonganji.or.jp	東本願寺御影堂の構造は？	入母屋造	切妻造	宝形造	1	2026-09-07 12:30:59 UTC	2026-09-07 12:30:59 UTC	ひがしほんがんじ	valid	2026-08-29 02:29:52 UTC
37	すし岩	京都	34.9901	135.762	http://www.sushiiwa.jp	「すし岩」のすしを人生で最も美味しかったと絶賛したのは誰？	スティーブ・ウォズニアック	スティーブ・ジョブズ	ビル・ゲイツ	2	2026-09-07 12:30:59 UTC	2026-09-07 12:30:59 UTC	すしいわ	valid	2026-08-29 02:29:52 UTC
38	西芳寺	京都	34.992	135.683	https://ja.wikipedia.org/wiki/西芳寺	西芳寺の別名は？	禅寺	萌寺	苔寺	3	2026-09-07 12:30:59 UTC	2026-09-07 12:30:59 UTC	さいほうじ	valid	2026-08-29 02:29:53 UTC
39	松尾大社	京都	35.0	135.685	https://www.matsunoo.or.jp	松尾大社が記されるのは？	古事記	日本書紀	風土記	1	2026-09-07 12:30:59 UTC	2026-09-07 12:30:59 UTC	まつのおたいしゃ	valid	2026-08-29 02:29:53 UTC
40	二尊院	京都	35.0212	135.668	https://ja.wikipedia.org/wiki/二尊院	応仁の乱で全焼した二尊院を再建したのは誰？	細川晴元	勧修寺教秀	三条西実隆	3	2026-09-07 12:30:59 UTC	2026-09-07 12:30:59 UTC	にそんいん	valid	2026-08-29 02:29:54 UTC
41	等持院	京都	35.0316	135.723	https://ja.wikipedia.org/wiki/等持院	等持院の山号は？	百年山	千年山	万年山	3	2026-09-07 12:30:59 UTC	2026-09-07 12:30:59 UTC	とうじいん	valid	2026-08-29 02:29:54 UTC
42	イオンモールKYOTO	京都	34.9827	135.755	https://kyoto-aeonmall.com/index.jsp	イオンモールKYOTOがグランドオープンしたのはいつ？	2009年	2010年	2011年	2	2026-09-07 12:30:59 UTC	2026-09-07 12:30:59 UTC	いおんもーるきょうと	valid	2026-08-29 02:29:54 UTC
43	京都ヨドバシ	京都	34.9882	135.759	https://www.yodobashi-kyoto.com	京都ヨドバシがオープンしたのはいつ？	2009年	2010年	2011年	2	2026-09-07 12:30:59 UTC	2026-09-07 12:30:59 UTC	きょうとよどばし	valid	2026-08-29 02:29:55 UTC
44	四条烏丸	京都	35.0039	135.759	https://ja.wikipedia.org/wiki/四条烏丸	かつて四条烏丸に、存在していたものは？	京都地方裁判所	京都証券取引所	京都中央郵便局	2	2026-09-07 12:30:59 UTC	2026-09-07 12:30:59 UTC	しじょうからすま	valid	2026-08-29 02:29:55 UTC
45	五条大橋	京都	34.9957	135.768	https://ja.wikipedia.org/wiki/五条大橋	五条の橋を石柱の橋に改修したのは五奉行の誰？	増田長盛	長束正家	前田玄以	1	2026-09-07 12:30:59 UTC	2026-09-07 12:30:59 UTC	ごじょうおおはし	valid	2026-08-29 02:29:56 UTC
46	下鴨神社	京都	35.0384	135.773	https://ja.wikipedia.org/wiki/賀茂御祖神社	下鴨の茶屋が発祥とされる和菓子は？	いちご大福	もなか	みたらし団子	3	2026-09-07 12:30:59 UTC	2026-09-07 12:30:59 UTC	しもがもじんじゃ	valid	2026-08-29 02:29:56 UTC
47	京都市動物園	京都	35.0128	135.786	https://zoo.city.kyoto.lg.jp/zoo/	この動物園で繁殖に力を入れており、平成23年に日本初の4世が誕生した動物の種類は？	ゴリラ	マントヒヒ	テナガザル	1	2026-09-07 12:30:59 UTC	2026-09-07 12:30:59 UTC	きょうとしどうぶつえん	valid	2026-08-29 02:29:56 UTC
48	井上六郎商店	京都	34.9882	135.76	https://kigyo.city.kyoto.lg.jp/kyomachi/company/single/1968.php	水だし煎茶で有名な井上六郎商店の看板犬の名前は？	うーろん	げんまい	せん	2	2026-09-07 12:30:59 UTC	2026-09-07 12:30:59 UTC	いのうえろくろうしょうてん	valid	2026-08-29 02:29:57 UTC
49	糺の森	京都	35.0354	135.772	https://ja.wikipedia.org/wiki/糺の森	「糺の森」の原生林に生えている木で一番多いものは？	ムクノキ	ケヤキ	エノキ	1	2026-09-07 12:30:59 UTC	2026-09-07 12:30:59 UTC	ただすのもり	valid	2026-08-29 02:29:57 UTC
50	修学院離宮	京都	35.0539	135.804	https://ja.wikipedia.org/wiki/修学院離宮	「天下三棚」の一つ、霞棚があるのはどこ？	下御茶屋	中御茶屋	上御茶屋	2	2026-09-07 12:30:59 UTC	2026-09-07 12:30:59 UTC	しゅがくいんりきゅう	valid	2026-08-29 02:29:58 UTC
51	京都コンサートホール	京都	35.0499	135.767	https://ja.wikipedia.org/wiki/京都コンサートホール	京都コンサートホールに設置されている国内最大級の楽器は？	バイオリン	グランドピアノ	パイプオルガン	3	2026-09-07 12:30:59 UTC	2026-09-07 12:30:59 UTC	きょうとこんさーとほーる	valid	2026-08-29 02:29:58 UTC
52	京都国立博物館	京都	34.99	135.773	http://www.kyohaku.go.jp/jp/index_top.html	国立博物館の特別展示館と噴水の間に設置されている像は？	ダビデ像	考える人	初代館長の胸像	2	2026-09-07 12:30:59 UTC	2026-09-07 12:30:59 UTC	きょうとこくりつはくぶつかん	valid	2026-08-29 02:29:58 UTC
53	壬生寺	京都	35.0022	135.744	https://ja.wikipedia.org/wiki/壬生寺	新撰組ゆかりの壬生寺境内に銅像があるのは？	近藤勇	沖田総司	藤堂平助	1	2026-09-07 12:30:59 UTC	2026-09-07 12:30:59 UTC	みぶでら	valid	2026-08-29 02:29:59 UTC
54	錦市場	京都	35.005	135.764	https://ja.wikipedia.org/wiki/錦市場	京料理の食材がほとんどがそろうこの場所は？	黒門市場	錦市場	黒潮市場	2	2026-09-07 12:30:59 UTC	2026-09-07 12:30:59 UTC	にしきいちば	valid	2026-08-29 02:29:59 UTC
55	西利	京都	34.9897	135.753	https://www.nishiri.co.jp	総理大臣賞を受賞した漬け物は？	すぐき	生しば漬	西利の千枚漬	3	2026-09-07 12:30:59 UTC	2026-09-07 12:30:59 UTC	にしり	valid	2026-08-29 02:30:00 UTC
56	東福寺	京都	34.9771	135.774	http://www.tofukuji.jp/	美しい紅葉で有名な東福寺の橋でないものはどれ？	渡月橋	臥雲橋	通天橋	1	2026-09-07 12:30:59 UTC	2026-09-07 12:30:59 UTC	とうふくじ	valid	2026-08-29 02:30:00 UTC
57	西部講堂	京都	35.0268	135.778	https://ja.wikipedia.org/wiki/京都大学西部講堂	西部講堂には何組の大物海外アーティストが来日していた歴史がありますが、なかでも暴動の発生によって伝説となっているのは？	トーキング・ヘッズ	ポリス	トム・ウェイツ	2	2026-09-07 12:30:59 UTC	2026-09-07 12:30:59 UTC	せいぶこうどう	valid	2026-08-29 02:30:00 UTC
58	北野天満宮	京都	35.0311	135.735	https://kitanotenmangu.or.jp/	学問の神様として有名な北野天満宮。ある花が沢山咲くことでも有名です。何の花でしょう	梅	桜	水仙	1	2026-09-07 12:30:59 UTC	2026-09-07 12:30:59 UTC	きたのてんまんぐう	valid	2026-08-29 02:30:01 UTC
59	妙心寺	京都	35.0232	135.72	http://www.myoshinji.or.jp/guide/index.html	日本最大の禅寺の妙心寺にはいくつの塔頭があるか？	26	36	46	3	2026-09-07 12:30:59 UTC	2026-09-07 12:30:59 UTC	みょうしんじ	valid	2026-08-29 02:30:01 UTC
60	二条城	京都	35.0142	135.747	https://ja.wikipedia.org/wiki/二条城	かつて二条城にあった施設は？	プール	テニスコート	温泉	2	2026-09-07 12:30:59 UTC	2026-09-07 12:30:59 UTC	にじょうじょう	valid	2026-08-29 02:30:01 UTC
61	大覚寺	京都	35.0283	135.678	https://ja.wikipedia.org/wiki/大覚寺	嵯峨御所とも呼ばれ、映画「陰陽師」の舞台ともなったこの場所は？	大覚寺	天龍寺	妙心寺	1	2026-09-07 12:30:59 UTC	2026-09-07 12:30:59 UTC	だいかくじ	valid	2026-08-29 02:30:02 UTC
62	渡月橋	京都	35.013	135.678	https://ja.wikipedia.org/wiki/渡月橋	名前の由来、亀山上皇が橋の上空を移動していく何を眺めて感想を述べたか？	太陽	月	星	2	2026-09-07 12:30:59 UTC	2026-09-07 12:30:59 UTC	とげつきょう	valid	2026-08-29 02:30:02 UTC
63	東映太秦映画村	京都	35.0164	135.708	https://ja.wikipedia.org/wiki/東映太秦映画村	映画村の初代マスコットキャラクターは？	かちん太	からす天狗うじゅ	かんたろう	3	2026-09-07 12:30:59 UTC	2026-09-07 12:30:59 UTC	とうえいうずまさえいがむら	valid	2026-08-29 02:30:03 UTC
64	桂離宮	京都	34.984	135.71	https://ja.wikipedia.org/wiki/桂離宮	桂離宮を「泣きたくなるほど美しい」と絶賛したのは誰？	ブルーノ・タウト	佐々木嘉平	テオドール・フィッシャー	1	2026-09-07 12:30:59 UTC	2026-09-07 12:30:59 UTC	かつらりきゅう	valid	2026-08-29 02:30:03 UTC
65	丸太町駅	京都	35.0166	135.76	https://ja.wikipedia.org/wiki/丸太町駅	「京都の通り名の歌」の歌いだしはなんでしょう	まるたけえびすに	あねさんろっかくたこにしき	せったちゃらちゃらうおのたな	1	2026-09-07 12:30:59 UTC	2026-09-07 12:30:59 UTC	まるたまちえき	valid	2026-08-29 02:30:04 UTC
66	広隆寺	京都	35.0155	135.707	https://ja.wikipedia.org/wiki/広隆寺	広隆寺が所蔵する国宝の仏像は？	百済観音像	如意輪観音像	弥勒菩薩半跏思惟像	3	2026-09-07 12:30:59 UTC	2026-09-07 12:30:59 UTC	こうりゅうじ	valid	2026-08-29 02:30:05 UTC
67	澤屋	京都	35.0277	135.735	http://www.awamochi-sawaya.shop-site.jp/	北野天満宮の門前にある澤屋さんで有名な和菓子は？	粟餅	あぶり餅	焼餅	1	2026-09-07 12:30:59 UTC	2026-09-07 12:30:59 UTC	さわや	valid	2026-08-29 02:30:05 UTC
68	山科三条街道	京都	34.9912	135.815	https://www.sanjokai.jp/mote.html	山科三条街道商店会のナスをモチーフにしたキャラクターの名前は？	なすまろ	やましなす	もてなすくん	3	2026-09-07 12:30:59 UTC	2026-09-07 12:30:59 UTC	やましなさんじょうかいどう	valid	2026-08-29 02:30:05 UTC
69	一条通り	京都	35.0262	135.734	http://kyotohyakki.com/	一条通りを別名なんというか？	メルヘンストリート	妖怪ストリート	怪獣ストリート	2	2026-09-07 12:30:59 UTC	2026-09-07 12:30:59 UTC	いちじょうどおり	valid	2026-08-29 02:30:05 UTC
70	京都造形大学	京都	35.0379	135.793	https://www.kyoto-art.ac.jp/	2007年から2013年現在まで京都造形大学の副学長を務めるのはだれ？	ジャニー喜多川	つんく	秋元康	3	2026-09-07 12:30:59 UTC	2026-09-07 12:30:59 UTC	きょうとぞうけいだいがく	valid	2026-08-29 02:30:05 UTC
71	高山彦九郎像	京都	35.009	135.773	https://ja.wikipedia.org/wiki/高山彦九郎	三条の「土下座像」として知られるこの人物の像はどちらを向いている？	北西	北東	南西	1	2026-09-07 12:30:59 UTC	2026-09-07 12:30:59 UTC	たかやまひこくろうぞう	valid	2026-08-29 02:30:06 UTC
72	名酒館タキモト	京都	34.9938	135.763	https://www.eonet.ne.jp/~takimoto/	関西屈指の品揃えを誇る「名酒館タキモト」はどの通りにある？	四条通	五条通	六条通	3	2026-09-07 12:30:59 UTC	2026-09-07 12:30:59 UTC	めいしゅかんたきもと	valid	2026-08-29 02:30:06 UTC
73	出町ふたば	京都	35.0302	135.77	http://tabelog.com/kyoto/A2603/A260302/26001520/	あっさりした味わいで、行列が絶えないほどの人気を誇る「出町ふたば」で最も有名なお菓子は？	ぼた餅	豆餅	月餅	2	2026-09-07 12:30:59 UTC	2026-09-07 12:30:59 UTC	でまちふたば	valid	2026-08-29 02:30:06 UTC
74	出町橋	京都	35.0304	135.771	https://ja.wikipedia.org/wiki/鴨川_(淀川水系)	鴨川（賀茂川）は出町柳付近に出没すると噂のげっ歯類はどれ？	カピバラ	ビーバー	ヌートリア	3	2026-09-07 12:30:59 UTC	2026-09-07 12:30:59 UTC	でまちばし	valid	2026-08-29 02:30:07 UTC
75	京都女子大学	京都	34.9887	135.78	https://www.kyoto-wu.ac.jp/	東大路から京都女子大学へ向かう、急な坂の通称は？	女坂	車坂	桜坂	1	2026-09-07 12:30:59 UTC	2026-09-07 12:30:59 UTC	きょうとじょしだいがく	valid	2026-08-29 02:30:07 UTC
76	哲学の道	京都	35.0271	135.795	https://ja.wikipedia.org/wiki/哲学の道	哲学の道の名前の由来である哲学者は誰？	橋本関雪	西田幾多郎	鈴木大拙	2	2026-09-07 12:30:59 UTC	2026-09-07 12:30:59 UTC	てつがくのみち	valid	2026-08-29 02:30:07 UTC
77	鴨川納涼床	京都	35.0059	135.771	https://www.kyoto-yuka.com/	京都夏の風物詩「鴨川納涼床」の下を流れる川の名前は？	高瀬川	禊川	白川	2	2026-09-07 12:30:59 UTC	2026-09-07 12:30:59 UTC	かもがわのうりょうゆか	valid	2026-08-29 02:30:08 UTC
78	京都大学	京都	35.0262	135.781	https://www.kyoto-u.ac.jp/ja	森見登美彦の小説「夜は短し歩けよ乙女」でもその様子が活写された学祭「NF」は何月に開催される？	5月	6月	11月	3	2026-09-07 12:30:59 UTC	2026-09-07 12:30:59 UTC	きょうとだいがく	valid	2026-08-29 02:30:08 UTC
79	吉田神社	京都	35.0238	135.785	https://www.yoshidajinja.com/	吉田神社で行われる盛大なお祭といえば？	十日戎	節分祭	涅槃会	2	2026-09-07 12:30:59 UTC	2026-09-07 12:30:59 UTC	よしだじんじゃ	valid	2026-08-29 02:30:08 UTC
80	京都市役所	京都	35.0116	135.768	https://ja.wikipedia.org/wiki/京都市役所	建物前の広場が市民の憩いの場ともなっているこの市役所の前にはとても有名なお寺がありますが、それは何？	本能寺	知恩院	仁和寺	1	2026-09-07 12:30:59 UTC	2026-09-07 12:30:59 UTC	きょうとしやくしょ	valid	2026-08-29 02:30:08 UTC
81	サントリー京都ビール工場	京都	34.9112	135.697	https://www.suntory.co.jp/factory/kyoto/	ビールの主な原料は、天然水、ホップと何？	大麦	トウモロコシ	大豆	1	2026-09-07 12:30:59 UTC	2026-09-07 12:30:59 UTC	さんとりーきょうとびーるこうじょう	valid	2026-08-29 02:30:09 UTC
82	サントリー山崎蒸留所	京都	34.8927	135.675	https://www.suntory.co.jp/factory/yamazaki/	山崎の地は3つの川が合流する場所に位置している。3つの川とは、桂川、宇治川、と何か？	木更津川	木津川	津川	2	2026-09-07 12:30:59 UTC	2026-09-07 12:30:59 UTC	さんとりーやまざきじょうりゅうしょ	valid	2026-08-29 02:30:09 UTC
83	宝鏡寺	京都	35.0337	135.753	https://ja.wikipedia.org/wiki/宝鏡寺	宝鏡寺は通称、何寺と呼ばれているか？	苔寺	人形寺	花の寺	2	2026-09-07 12:30:59 UTC	2026-09-07 12:30:59 UTC	ほうきょうじ	valid	2026-08-29 02:30:09 UTC
84	梨木神社	京都	35.0239	135.767	http://www.nashinoki.jp/index.html	京都御所に隣接するこの神社の境内の井戸水は京都三名水の一つとされる。その通称は何か？	染井の水	県井の水	醒ヶ井の水	1	2026-09-07 12:30:59 UTC	2026-09-07 12:30:59 UTC	なしのきじんじゃ	valid	2026-08-29 02:30:09 UTC
85	錦天満宮	京都	35.005	135.767	https://ja.wikipedia.org/wiki/錦天満宮	錦天満宮の社務所前にある「からくりみくじ」で機械仕掛けで動くのは何か？	獅子	狐	狛犬	1	2026-09-07 12:30:59 UTC	2026-09-07 12:30:59 UTC	にしきてんまんぐう	valid	2026-08-29 02:30:10 UTC
86	インクライン跡	京都	35.0095	135.79	https://biwakososui.city.kyoto.lg.jp/place/detail/23	琵琶湖疏水の分線である水路閣が敷地内を通る寺はどこか？	相国寺	南禅寺	天龍寺	2	2026-09-07 12:30:59 UTC	2026-09-07 12:30:59 UTC	いんくらいんあと	valid	2026-08-29 02:30:10 UTC
87	京都府立図書館	京都	35.013	135.783	https://www.library.pref.kyoto.jp	向かいの京都市美術館とはさんだ道を200m北に進むとぶつかる神社はなにか？	北野天満宮	八坂神社	平安神宮	3	2026-09-07 12:30:59 UTC	2026-09-07 12:30:59 UTC	きょうとふりつとしょかん	valid	2026-08-29 02:30:11 UTC
88	わら天神	京都	35.0359	135.732	http://www.kyoto-jinjacho.or.jp/shrine/03/060/	安産のご利益で有名な、わら天神の主祭神は何か？	木花開耶姫命	邇邇芸命	玉依姫命	1	2026-09-07 12:30:59 UTC	2026-09-07 12:30:59 UTC	わらてんじん	valid	2026-08-29 02:30:11 UTC
